t,Adoption_ActiveAddresses,Adoption_TxCount,Distribution_MinerRevenue,Market_HashRate,Market_Difficulty
2017-12-02,683883.0,326354.0,24108052.6110006,10780528.4930301,1347001430558.0
2017-12-04,885110.0,400686.0,28891001.9578248,12119724.5791208,1347001430558.0
2017-12-06,978252.0,443587.0,33116592.8460115,14867776.0589056,1407975304733.0
2017-12-08,902012.0,385092.0,41311081.4101853,12337090.7722833,1590896927258.0
2017-12-10,739392.0,341420.0,38120250.2377464,12969762.0939389,1590896927258.0
2017-12-12,867772.0,372977.0,42937956.7643401,12337090.7722833,1590896927258.0
2017-12-14,1072862.0,490644.0,49974171.3334026,14630524.3132847,1590896927258.0
2017-12-16,819305.0,364222.0,49815223.7422835,13523349.5003875,1590896927258.0
2017-12-18,922524.0,394239.0,54532107.9700656,16946489.2356708,1718045833483.09
2017-12-20,853864.0,370277.0,44203326.9660163,12663310.6376441,1873105475221.0
2017-12-22,890732.0,380648.0,48973790.4176209,14432449.6237856,1873105475221.0
2017-12-24,652210.0,279523.0,38398460.7292659,14153111.8891317,1873105475221.0
2017-12-26,605854.0,247440.0,38650262.934002,13221986.1069519,1873105475221.0
2017-12-28,741489.0,305053.0,37806663.7832782,13873774.1544777,1873105475221.0
2017-12-30,815100.0,344407.0,34517255.3487837,13687548.9980418,1873105475221.0
2018-01-01,593283.0,241757.0,32858099.4405417,14975580.9596883,1922580604979.83
2018-01-03,937531.0,395963.0,41037010.8705439,15071578.2735325,1931136454487.0
2018-01-05,888403.0,342707.0,39205380.0155258,13727615.8797143,1931136454487.0
2018-01-07,910005.0,368187.0,44912742.3337695,15551564.8427532,1931136454487.0
2018-01-09,919150.0,360265.0,43234479.1223377,15743559.4704415,1931136454487.0
2018-01-11,822011.0,337959.0,43029257.7252294,18527481.5719221,1931136454487.0
2018-01-13,652050.0,265735.0,34057401.8694134,16501289.1137539,2134254177773.12
2018-01-15,670840.0,273623.0,33038806.9201573,16612036.0205577,2227847638503.0
2018-01-17,768382.0,315771.0,31114647.1407057,18494733.4362209,2227847638503.0
2018-01-19,578407.0,243619.0,30328455.6576096,18273239.6226134,2227847638503.0
2018-01-21,522862.0,215622.0,31881234.2280697,20709671.5722952,2227847638503.0
